id,name,description,q_rules,links,labels,url,image_url,notes,stats.average,stats.avgweight,stats.baverage,stats.description,stats.maxplayers,stats.maxplaytime,stats.minplayers,stats.minplaytime,stats.numcomments,stats.numfans,stats.numgeeklists,stats.numhasparts,stats.numowned,stats.numplays,stats.numplays_month,stats.numpreordered,stats.numprevowned,stats.numtrading,stats.numwanting,stats.numwantparts,stats.numwanttobuy,stats.numwanttoplay,stats.numweights,stats.numwish,stats.numwishlistcomments,stats.playmonth,stats.short_description,stats.stddev,stats.usersrated,stats.views,stats.yearpublished
cockroach-poker,Cockroach Poker,It's a cockroach. It's a fly. Will you call the bluff or pass on a trick of your own?,https://drive.google.com/drive/folders/18OFVzbeh7OlnHXj_ATTef69IRt2QqUsq?usp=drive_link,[],"['Bluffing', 'Card Game', 'Family Game', 'Party Game', 'Quick']",https://boardgamegeek.com/boardgame/11971/cockroach-poker,https://cf.geekdo-images.com/lHadyVLPUQfNz_qV6MMp_Q__opengraph/img/6De2DBNPXfBbzbVjNvSVKRu5QP8=/0x513:1080x1080/fit-in/1200x630/filters:strip_icc()/pic3218988.jpg,,6.79323,1.1051,6.59014,"<p><em><strong>Cockroach Poker</strong></em> is a reverse set collection game that has nothing to do with poker &ndash; except that the game is all about bluffing, with cards that show cockroaches, rats and stink bugs. The goal is to force another player to collect 4 of any one type of critter.</p>

<p>The deck includes 64 cards, with eight copies of eight types of critters. To set up the game, shuffle the deck and deal the cards out to players.</p>

<p>On a turn, a player takes one card from their hand, lays it face down on the table, slides it to a player of their choice, and declares a type of critter, e.g., &quot;Stink bug&quot;. The player receiving the card either</p>

<ul>
    <li> Accepts the card, says either &quot;true&quot; or &quot;false&quot;, then reveals the card. If this player is wrong in their claim, they keep the card on the table in front of them face up; if they are right, the player who gave them the card places it face up before them.</li>
</ul>

<ul>
    <li> Peeks at the card, then passes it face down to another player, either saying the original type of critter or saying a new type. This new player again has the choice of accepting the card or passing it, unless the card has already been seen by all other players in which case the player must take the first option.</li>
</ul>

<p>Whoever lost a challenge and had to place the card before them on the table begins the next round.</p>

<p>The game ends when a player has no cards to pass on their turn or when a player has four cards of the same critter on the table in front of them. In either case, this player loses and everyone else wins.</p>

",6,20,2,20,2606,325,1444,5,22561,60157,430,,1503,237,217,4,,,514,1760,256,2024-02,It's a cockroach. It's a fly. Will you call the bluff or pass on a trick of your own?,1.46927,13266,558065,2004
conspiracy,Conspiracy,Move the spies to move to your goal.  Payoff the spies to control them.,https://drive.google.com/drive/folders/1rWYWjaMM7f9E-zqU5WzKwaO8GmgrKyOW?usp=drive_link,[],[],https://boardgamegeek.com/boardgame/697/conspiracy,https://cf.geekdo-images.com/WKFNP8WwItyM9sdSlcYasg__opengraph/img/DV-6aFyyRopkF5KmsL68swQgBR4=/0x0:2972x1560/fit-in/1200x630/filters:strip_icc()/pic187425.jpg,,6.26821,1.913,5.6661,"<p>There are four capitals, four bankbooks, one top secret briefcase and eight greedy spies that anyone can control. The object is to move the briefcase to your headquarters. Players can either secretly pay off or openly move a spy one space on their turn. Each player has an account of $10,000 and can bribe spies in increments of at least $100. If you move a spy, another player may challenge the move. The two players then slowly reveal how much money they each have on the spy in question. If the challenger wins, the move is rescinded. If the defender wins, the move stays and the challenger loses his next turn. Players need to cooperate against whichever player is closest to victory. You can conspire openly to swipe the case or murder a spy and turn the tables on a player who is a mere one space away from winning. No dice, no cards, no luck involved. Learn to work together or games will end in a hurry.</p>

<p>Amigo version (Casablanca) published 1991 supports 8 players.</p>

",4,90,3,90,373,28,774,4,1821,957,0,4,350,156,36,6,32,138,46,162,27,2025-10,Move the spies to move to your goal.  Payoff the spies to control them.,1.49784,649,155487,1973
cortex-challenge,Cortex + Challenge,"Cortex + Challenge tests up to 2-6  players memory, cognition, and sensory perception.",https://drive.google.com/drive/folders/1O9nk3kzYB01Dyw209Lc27YNN8WWOMrFd?usp=drive_link,[],"['Hidden', 'Challenge', 'Family Game', 'Cognition']",https://boardgamegeek.com/boardgame/297478/cortex-challenge,https://cf.geekdo-images.com/ook-qcEW-PJklmwkmXgI8Q__opengraph/img/3pZCvfYfdPXi2I4qXqFXtgnelr0=/0x122:466x366/fit-in/1200x630/filters:strip_icc()/pic5142950.jpg,,6.39681,1.25,5.55538,"<p><em><strong>Cortex + Challenge</strong></em> tests up to 2-6  players&rsquo; memory, cognition, and sensory perception. It even includes texture cards that are used during &quot;touch challenges&quot; in which players must guess what they are feeling, adding a unique element that is often neglected in games.</p>

<p>Winning challenges allows players to add pieces to their brain 3D puzzle which they must complete before their opponents in order to win the game.</p>

<p>This game contains 170 new cards, including 9 new challenges and can be mixed with cortex 1, cortex 2, and/ cortex 3</p>

",6,15,2,10,20,5,11,0,569,419,18,,26,9,2,0,,,4,19,0,2024-02,,1.27442,154,16680,2018
crew-quest-planet-nine,The Crew: The Quest for Planet Nine,Go on many planet-discovering space missions in this cooperative trick-taking game.,https://drive.google.com/drive/folders/1Zr2XJFn3Qx4nkPT8XpqnWcD1_0enyCoD?usp=drive_link,[],"['Trick Taking', 'Co-op', 'Family Game', 'Space', 'Modern Family Boardgames']",https://boardgamegeek.com/boardgame/284083/crew-quest-planet-nine,https://cf.geekdo-images.com/98LnQShydr11OBKS46xY-Q__opengraph/img/cvS7N76w8O89KboTaQ9CIx0nVzs=/0x0:1440x756/fit-in/1200x630/filters:strip_icc()/pic5687013.jpg,,7.81699,1.9569,7.67238,"<p>In the co-operative trick-taking game <em><strong>The Crew: The Quest for Planet Nine</strong></em>, the players set out as astronauts on an uncertain space adventure. What are the rumors regarding the unknown planet about? The eventful journey through space extends over 50 exciting missions. But this game can only be defeated by meeting common individual tasks of each player. In order to meet the varied challenges communication is essential in the team. But this is more difficult than expected in space.</p>

<p>With each mission the game becomes more difficult. After each mission the game can be paused and continued later. During each mission it is not the number of tricks but the right tricks at the right time that count.</p>

<p>The team completes a mission only if every single player is successful in fulfilling their tasks.</p>

<p>The game comes with 50 missions, with three additional missions published in <em>spielbox</em> 2/2020.</p>

",5,20,2,20,5252,1515,3538,14,77356,543624,3054,,4655,1092,309,8,,,812,5399,863,2024-02,Go on many planet-discovering space missions in this cooperative trick-taking game.,1.30649,40309,1534396,2019
cross-bronx-expressway,Cross Bronx Expressway,Competitive socio-economic city builder with collective loss conditions.,,[],[],https://boardgamegeek.com/boardgame/347601/cross-bronx-expressway,https://cf.geekdo-images.com/LWX0K7VTIgNUH0cBbR9CnQ__opengraph/img/pP5xA53SOPIOmjGeDmf46z6GyTU=/0x109:3527x1961/fit-in/1200x630/filters:strip_icc()/pic8652606.png,,7.78605,3.2727,5.57608,"<p><em><strong>Cross Bronx Expressway</strong></em> is the third game in the <strong><a  href=""/boardgamefamily/72503/series-irregular-conflicts-series-gmt""   >Irregular Conflicts Series</a></strong>. It simulates the socio-economic processes of urban development, and the human costs that result, as a competitive city-builder with collective loss conditions. Players control one of three asymmetric factions working in the South Bronx between 1940 and 2000, pursuing their own goals while cooperating to keep the borough viable. Through a card driven sequence of play, they will work to solve the economic challenges facing the area by building infrastructure and organizations, forming coalitions, mitigating the multitude of issues facing the vulnerable population, and managing resources to stay out of debt. <em>Cross Bronx Expressway</em> offers an engaging way to learn about the recent history of American cities, as exemplified by Jane Jacobs&rsquo; pivotal work <em>The Death and Life of Great American Cities</em>, simulated through the case study of the South Bronx. Players will experience the conflicting incentives and complex factors shaping urban life, and together determine the fate of the Bronx.</p>

<p>The gameplay is driven by a deck of event cards which determines turn order, and then players spend resources to take actions on map spaces. The game ends after the event deck is exhausted, or earlier if certain conditions are met. Players score victory points at regular periods during the game, and the player with the most points at the end of the game wins (unless an auto-loss condition for all players is met).</p>

<p>&mdash;description from the publisher</p>

",3,180,1,90,56,112,104,0,487,196,77,159,6,8,90,0,81,263,11,451,37,2025-11,Competitive socio-economic city builder with collective loss conditions.,1.38313,86,84673,2025
die-macher,Die Macher,Players represent political parties attempting to gain power in Germany.,https://drive.google.com/drive/folders/12xkkK55InWdfT1EgvYANlvB5D5sTovZN?usp=drive_link,[],"['Classic', 'Political', 'Control', 'Strategy', 'Complex', '80s and 90s Classics']",https://boardgamegeek.com/boardgame/1/die-macher,https://cf.geekdo-images.com/rpwCZAjYLD940NWwP3SRoA__opengraph/img/oVdlOLPCGdawXaV2RFagqBPPpf0=/0x1149:2418x2418/fit-in/1200x630/filters:strip_icc()/pic4718279.jpg,,7.58573,4.3098,7.0062,"<p><em><strong>Die Macher</strong></em> is a game about seven sequential political races in different regions of Germany. Players are in charge of national political parties, and must manage limited resources to help their party to victory. The winning party will have the most victory points after all the regional elections. There are four different ways of scoring victory points. First, each regional election can supply one to eighty victory points, depending on the size of the region and how well your party does in it. Second, if a party wins a regional election and has some media influence in the region, then the party will receive some media-control victory points. Third, each party has a national party membership which will grow as the game progresses and this will supply a fair number of victory points. Lastly, parties score some victory points if their party platform matches the national opinions at the end of the game.</p>

<p>The 1986 edition featured four parties from the old West Germany and supported 3-4 players. The 1997 edition supports up to five players in the re-united Germany and updated several features of the rules as well.  The 2006 edition also supports up to five players and adds a shorter five-round variant and additional rules updates by the original designer.</p>

",5,240,3,240,2161,299,4753,5,8348,7790,3,86,1654,277,491,5,380,2034,794,2210,321,2025-06,Players represent political parties attempting to gain power in Germany.,1.55853,5916,1119072,1986
dropolter,DroPolter,Drop only the proper items to receive reward bells...that cannot be dropped.,https://drive.google.com/drive/folders/1rzjqPf2cAPQyohdSUgHmiWlr_34LnO3A?usp=drive_link,[],"['Oink Games', 'Dexterity', 'Kawaii', 'Small Box']",https://boardgamegeek.com/boardgame/405537/dropolter,https://cf.geekdo-images.com/W9rXEN6j-hJ-5QMLmnullA__opengraph/img/uUH38XcZiarZYSGynlZqnu2FaVc=/0x444:363x635/fit-in/1200x630/filters:strip_icc()/pic7836564.png,,6.76736,1,5.54281,"<p>Your hand is always full in <em><strong>DroPolter</strong></em>, which makes it a challenge to drop only the correct items that the ghosts want to see.</p>

<p>To start the game, each player has a hand of five items: a red plastic cube, a blue wooden key, and so on. Each round, someone flips the top card of the deck, then players race to drop only the correct items from their hand. If you drop something you shouldn't, you're out for the round. If you're the first player who drops everything correctly, congratulations! You're rewarded with a tiny bell...that is placed in your hand and cannot be dropped in the future.</p>

<p>The first player who collects five bells wins.</p>

",5,20,2,20,13,17,5,0,187,262,8,,1,3,43,0,,,2,142,6,2024-03,Drop only the proper items to receive reward bells...that cannot be dropped.,1.34343,72,8235,2023
el-grande,El Grande,"Use your caballeros to control regions of medieval Spain, keeping clear of the King!",https://drive.google.com/drive/folders/1-ra0nsJGUxaJvd_ibq5URLaFh_I9scwz?usp=drive_link,[],"['Area Majority', 'Classic', 'Strategy', 'Wolfgang Kramer', '80s and 90s Classics']",https://boardgamegeek.com/boardgame/93/el-grande,https://cf.geekdo-images.com/RRKDHaYtFPHhczkUDcHOmg__opengraph/img/RBIEMgZ9VbfSWzrfDQcdpZLyhvo=/0x0:2000x1050/fit-in/1200x630/filters:strip_icc()/pic7906240.jpg,,7.76434,2.9396,7.58666,"<p>In this award-winning game, players take on the roles of <em>Grandes</em> in medieval Spain.  The king's power is flagging, and these powerful lords are vying for control of the various regions.  To that end, you draft caballeros (knights) into your court and subsequently move them onto the board to help seize control of regions.  After every third round, the regions are scored, and after the ninth round, the player with the most points is the winner.</p>

<p>In each of the nine rounds, you select one of your 13 power cards to determine turn order as well as the number of caballeros you get to move from the provinces (general supply) into your court (personal supply).</p>

<p>A turn then consists of selecting one of five action cards which allow variations to the rules and additional scoring opportunities in addition to determining how many caballeros to move from your court to one or more of the regions on the board (or into the castillo - a secretive tower). Normally, you may only place your caballeros into regions adjacent to the one containing the king. The one hard and fast rule in El Grande is that nothing may move into or out of the king's region. One of the five action cards that is always available each round allows you to move the king to a new region. The other four action cards vary from round to round.</p>

<p>The goal is to have a caballero majority in as many regions (and the castillo) as possible during a scoring round. Following the scoring of the castillo, you place any cubes you had there into the region you secretly indicated on your region dial. Each region is then scored individually according to a table printed in that region. Two-point bonuses are awarded for having sole majority in the region containing your Grande and in the region containing the king.</p>

",5,120,2,60,6308,1360,7693,20,32747,62038,72,109,3780,492,1396,28,1572,4872,2435,7317,884,2025-06,"Use your caballeros to control regions of medieval Spain, keeping clear of the King!",1.32575,31186,2380249,1995
fort,Fort,"Build the most awesome fort while making friends, collecting toys, and eating pizza.",https://drive.google.com/drive/folders/10Xiw9AFnJ38CMAQq9dxlPdNI-DxBYDQS?usp=drive_link,[],"['Leder Games', 'Deck Building', 'Hand Management', 'Kids', 'Strategy']",https://boardgamegeek.com/boardgame/296912/fort,https://cf.geekdo-images.com/hAsqLdANmtExR5Zi41v94Q__opengraph/img/YZjnAeiHYSKAlIkTByGQ5jpe3dA=/0x65:1335x766/fit-in/1200x630/filters:strip_icc()/pic5241325.png,,7.07897,2.4491,6.77494,"<p><em><strong>Fort</strong></em> is a 2-4 player card game about building forts and following friends.</p>

<p>In <em>Fort</em>, you're a kid! And like many kids, you want to grow your circle of friends, collect pizza and toys, and build the coolest fort.</p>

<p>By doing this cool stuff, you'll score victory points, and at the end of the game, the player with the most victory points wins! Your cards not only let you take actions on your own turn, but also let you follow the other players' actions on their turns. Will you devote yourself to your own posse, or copy what the other kids are doing?</p>

<p>But be careful as your carefully constructed deck might start losing cards if you don't actually use them. After all, if you don't play with your friends, why should they hang out with you anymore?</p>

<p><em>&mdash;description from the publisher</em></p>

",4,40,2,20,1763,686,1677,5,20773,31459,62,108,3035,621,269,2,663,2063,265,2752,333,2025-06,"Build the most awesome fort while making friends, collecting toys, and eating pizza.",1.2539,10985,867530,2020
hallertau,Hallertau,"Lead a small town: grow hops, improve workshops, and raise wealth to develop further.",https://drive.google.com/drive/folders/12hWvuFMrcsAiP47NM5EpKscmXvFziBqW?usp=drive_link,[],"['Uwe Rosenberg', 'Worker Placement', 'economic', 'farming']",https://boardgamegeek.com/boardgame/300322/hallertau,https://cf.geekdo-images.com/AdJBpY_o7PQEcoJPU1QdTg__opengraph/img/faU9dqlNX98abU8QSVXlyQg-Dc8=/0x0:1428x750/fit-in/1200x630/filters:strip_icc()/pic5869977.jpg,,7.84497,3.2959,7.21703,"<p>The Hallertau in Bavaria, Germany is the largest continuous hop-producing region in the world. It prides itself upon being the first in Middle Europe to cultivate hops. This game is set around 1850, when the Hallertau became what it is today.</p>

<p>As chief of a small Bavarian village in the Hallertau, your objective is to increase its wealth and prestige in the eyes of the world.</p>

<p>To achieve this, you will need to supply the local crafts folk with goods from agriculture and sheep breeding.</p>

<p>Place your workers, play your cards right, and let your village shine!</p>

<ul>
    <li> Progressive Worker Placement: Action spaces can be used multiple times, becoming more expensive in the process.</li>
    <li> Two-Field Rotation System: Fields lose their potency over time so fallowing fields allows them to become increasingly effective.</li>
    <li> Card Combos: You can play cards at any time; this timing&mdash;and the combination of cards&mdash;can be very powerful.</li>
    <li> Sheep with an Expiration Date: Breeding sheep early comes with a lot of perks, but, eventually, sheep will die of natural causes.</li>
</ul>

<p><em>&mdash;description from the back of the box</em></p>

",4,140,1,50,1130,535,1184,2,11382,25936,100,56,1214,215,498,1,644,2038,294,2931,363,2025-06,"Lead a small town: grow hops, improve workshops, and raise wealth to develop further.",1.18452,6481,801325,2020
hanamikoji,Hanamikoji,Win the favor of the geishas through careful speculation and bold moves.,https://drive.google.com/drive/folders/1eytYL_C9q_MG75ezpUk3FBdIE8lkHP2s?usp=drive_link,[],"['Two Player', 'Strategy', 'Family Game']",https://boardgamegeek.com/boardgame/158600/hanamikoji,https://cf.geekdo-images.com/uiVZ7QVfRFQx3EBG8eDU8w__opengraph/img/H5qimuzDSaHPtV1znprCc1sndUw=/0x0:765x402/fit-in/1200x630/filters:strip_icc()/pic6339446.png,,7.48808,1.6767,7.25468,"<p>Welcome to the most famed Geisha street in the old capital, Hanamikoji. Geishas are elegant and graceful women who are skilled in art, music, dance, and a variety of performances and ceremonies. Greatly respected and adored, Geishas are masters of entertainment.</p>

<p>In <em><strong>Hanamikoji</strong></em>, two players compete to earn the favor of seven illustrious Geishas by collecting each Geisha&rsquo;s preferred performance item. With careful speculation and a few bold moves, can you outsmart your opponent to win the favor of the most Geishas?</p>

<p><em>Jixia Academy</em> features the same gameplay as <em>Hanamikoji</em>, but with different artwork.</p>

<p><strong><a class="""" href=""/wiki/page/Hanamikoji_FAQ#"">Hanamikoji FAQ</a></strong></p>

",2,15,2,15,3046,993,1945,14,29343,89157,1013,,2467,353,471,8,,,467,4129,625,2024-02,Win the favor of the geishas through careful speculation and bold moves.,1.20399,17952,850536,2013
hansa-teutonica,Hansa Teutonica,Build networks of merchants along the roads and market towns of the Hanseatic League.,https://drive.google.com/drive/folders/1_zmWU3BDcfPcjNUq0dBbSOIO3LLhDKM9?usp=drive_link,[],"['Euro', 'Route Building', 'Network Building', 'Trade', '2000s Eurogames']",https://boardgamegeek.com/boardgame/43015/hansa-teutonica,https://cf.geekdo-images.com/3IkzYcplGfFtVrd3syClHg__opengraph/img/aG7HSjArZ3hqHLaBpzs25dF8sgA=/0x0:860x452/fit-in/1200x630/filters:strip_icc()/pic839090.jpg,,7.73987,3.0899,7.46439,"<p>The players act as traders trying to get victory points for building a network of offices, controlling cities, collecting bonus markers, or when other traders use the cities they control. After controlling a line between two cities with your pawns, you can decide to build an office (and maybe also establish control and/or get a bonus marker) or to get a skill improvement from some of the cities.</p>

<p>Players have to improve their traders' &quot;skills&quot; for the following effects: getting more VP from offices in their network, getting more available action points, increasing the number of available pawns, and getting the right to place pawns and get more special pawns.</p>

<p>This game appeared originally as Wettstreit der H&auml;ndler at the Hippodice competition.</p>

",5,90,2,45,3069,863,4200,8,13919,50037,100,56,2247,247,652,8,736,2923,845,3616,632,2025-06,Build networks of merchants along the roads and market towns of the Hanseatic League.,1.37765,16537,1489538,2009
heat-pedal-metal,Heat: Pedal to the Metal,Manage your race car's speed to keep from overheating.,https://drive.google.com/drive/folders/1z7fa_mLUNYaDUy62B99_L5MrVvHUCnf0?usp=drive_link,[],"['Deck Building', 'Racing', 'Family Game', 'Modern', 'Solo', 'Modern Family Boardgames']",https://boardgamegeek.com/boardgame/366013/heat-pedal-metal,https://cf.geekdo-images.com/-vOrd4bOspibyohYExLqWg__opengraph/img/MVFAnKPe_CLYCz5pTanfu26NFrg=/0x0:1316x691/fit-in/1200x630/filters:strip_icc()/pic6940449.png,,8.08855,2.19,7.77351,"<p>Based on simple and intuitive hand management, <em><strong>Heat: Pedal to the Metal</strong></em> puts players in the driver's seat of intense car races, jockeying for position to cross the finish line first, while managing their car's speed if they don't want to overheat. Selecting the right upgrades for their car will help them hug the curves and keep their engine cool enough to maintain top speeds. Ultimately, their driving skills will be the key to victory!</p>

<p>Drivers can compete in a single race or use the &quot;Championship System&quot; to play a whole season in one game night, customizing their car before each race to claim the top spot of the podium. They have to be careful as the weather, road conditions, and events will change every race to spice up their championship. Players can also enjoy a solo mode with the Legends Module or add automated drivers as additional opponents in multiplayer games.</p>

<p>&mdash;<em>description from the publisher</em></p>

",6,60,1,30,2380,2423,1209,7,26976,93272,5283,,802,120,1451,3,,,558,11051,706,2024-02,Manage your race car's speed to keep from overheating.,1.31051,18695,2427106,2022
high-society,High Society,Enhance your status via ostentatious expenditure but avoid scandal and shame.,https://drive.google.com/drive/folders/1d3wwSQuEBHdahlYFsd2UHG-coIcEKQOo?usp=drive_link,[],"['Reiner Knizia', 'Auction', 'Card Game', 'Classic', '80s and 90s Classics']",https://boardgamegeek.com/boardgame/220/high-society,https://cf.geekdo-images.com/_3wm5Ikl8NtF6oTQ5KT-1g__opengraph/img/WOGdM8THcv3mdDSzB2dbv46OhXk=/0x1091:1400x1826/fit-in/1200x630/filters:strip_icc()/pic3894197.jpg,,7.18835,1.483,6.95889,"<p>In <a  href=""/boardgamedesigner/2/reiner-knizia""   >Reiner Knizia&#039;s</a> <em><strong>High Society</strong></em>, players bid against each other to acquire the various trappings of wealth (positive-number and multiplier cards) while avoiding its pitfalls (negative number and divisor cards).  While bidding, though, keep an eye on your remaining cash - at the end of the game, even though all those positive-number cards might add up to a win, the player with the least money isn't even considered for victory.</p>

<p>In 2003 re-published by <a  href=""/boardgamepublisher/1901/uberplay""   >Überplay</a>.</p>

<p>In 2003 published with a new theme by <a  href=""/boardgamepublisher/8/amigo""   >Amigo</a> as Einfach Tierisch.</p>

<p>In 2006, published by <a  href=""/boardgamepublisher/254/university-games""   >University Games</a> as Animalement V&ocirc;tre (French version) and Beestenveiling (Dutch version).</p>

<p>In 2008, re-published by <a  href=""/boardgamepublisher/597/eagle-gryphon-games""   >Eagle-Gryphon Games</a></p>

<p>In 2018, re-published by <a  href=""/boardgamepublisher/29313/osprey-games""   >Osprey Games</a></p>

",5,30,3,15,3503,577,2912,9,22653,72550,276,67,2023,380,438,3,869,2154,704,3600,503,2025-06,Enhance your status via ostentatious expenditure but avoid scandal and shame.,1.23712,15224,842793,1995
imhotep-duel,Imhotep: The Duel,"Unload building materials from ships, but your opponents plans might mess up yours.",https://drive.google.com/drive/folders/1LxMiEJZXVtrQVQ-IC__wAUJDqJkfBcih?usp=drive_link,[],"['Two Player', 'Strategy']",https://boardgamegeek.com/boardgame/255674/imhotep-duel,https://cf.geekdo-images.com/EZ_6hP3PPQxF8oEkOZ1qng__opengraph/img/mwjqExCbCcm9auaHyLdHuFH-huU=/0x0:2000x1050/fit-in/1200x630/filters:strip_icc()/pic4597146.jpg,,7.07796,1.9667,6.42104,"<p>The competition of the builders continues in <em><strong>Imhotep: The Duel</strong></em>!</p>

<p>In this game, players take on the roles of Nefertiti and Akhenaten, one of Egypt's most famous royal couples. Game pieces must be cleverly placed so that players can unload the most valuable tiles from the six boats. While this is happening, each player builds their own four monuments in order to gain as many fame points as possible.</p>

",2,30,2,30,533,86,434,2,6300,9901,49,,652,132,107,3,,,60,855,134,2024-02,"Unload building materials from ships, but your opponent’s plans might mess up yours.",1.12463,2929,198182,2018
irish-gauge,Irish Gauge,Compete and cooperate to build railways across Ireland!,https://drive.google.com/drive/folders/1-w8qOVBqRP9sCnXZHVMwOK6uFivBaeOk?usp=drive_link,[],"['Trains', 'economic', 'stock market', 'cube rails']",https://boardgamegeek.com/boardgame/161882/irish-gauge,https://cf.geekdo-images.com/BZW9WTKwGMfb3R4EELel3w__opengraph/img/EGU3W5RCCJOKmsFSnrLZqSv7kAQ=/0x765:3529x2618/fit-in/1200x630/filters:strip_icc()/pic7628587.jpg,,7.19687,2.3778,6.55087,"<p><em><strong>Irish Gauge</strong></em> &mdash; one of three titles in Winsome Games 2014 Essen Set &mdash; is played on a map of Ireland and is similar in style to many of the stock-based, cube-rail games released by <a  href=""/boardgamepublisher/65/winsome-games""   >Winsome Games</a> since 2007.</p>

<p>On each player's turn, they can either place a share of one of five companies up for auction, build track (represented by cubes) in one of these five companies, upgrade a town to a city, or call for dividends. The dividends are paid out to shareholders of certain railroads based on how many cities/towns they connect to and how many shares of this company have been issued. The upgrade and dividend actions also affect game length and the likelihood of further dividends for each company. The game ends when a certain condition is met at the end of a player's turn, and the player with the highest sum of money and stock value at the end of this turn wins.</p>

<p>Irish Gauge is the first title in the Iron Rail series by Capstone Games.</p>

",5,60,3,60,752,177,796,2,5396,9673,35,50,891,144,236,0,219,968,90,1142,176,2025-06,Compete and cooperate to build railways across Ireland!,1.25104,3606,406375,2014
john-company-second-edition,John Company: Second Edition,Promise and cajole your way to the top whilst running the East India Company.,https://drive.google.com/drive/folders/1SxfmB3iSa3kOx3f-BQOM41vMBywUb09A?usp=drive_link,[],"['New', 'Wehrlegig Games', 'Heavy', 'Cole Wehrle', 'Colonial', 'Negotiation', 'Political', 'Modern Historical Boardgames']",https://boardgamegeek.com/boardgame/332686/john-company-second-edition,https://cf.geekdo-images.com/TAdE4z_bwAAjJlmPrkmKhA__opengraph/img/gRepsbz9DFvDSrjf49vBfoCL8t8=/0x415:2333x1640/fit-in/1200x630/filters:strip_icc()/pic6601629.jpg,,8.34837,4.4358,7.11837,"<p>In <em><strong>John Company</strong></em>, players assume the roles of ambitious families attempting to use the British East India Company for personal gain. The game begins in the early eighteenth-century, when the Company has a weak foothold on the subcontinent. Over the course of the game, the Company might grow into the most powerful and insidious corporation in the world or collapse under the weight of its own ambition.</p>

<p><em>John Company</em> is a game about state-sponsored trade monopoly. Unlike most economic games players often do not control their own firms. Instead, they will collectively guide the Company by securing positions of power, attempting to steer the Company&rsquo;s fate in ways that benefit their own interests. However, the Company is an unwieldy thing. It is difficult to do anything alone, and players will often need to negotiate with one another. In John Company, most everything is up for negotiation.</p>

<p>Ultimately, this game isn&rsquo;t about wealth; it&rsquo;s about reputation. Each turn some of your family members may retire from their Company positions, giving them the opportunity to establish estates. Critically, players do not have full control over when these retirements happen. You will often need to borrow money from other players to make the best use for a chance of retirement. Players also gain victory points by competing in the London Season for prestige and securing fashionable properties.</p>

<p><em>John Company</em> engages very seriously with its theme. It is meant as a frank portrait of an institution that was as dysfunctional as it was influential. Accordingly, the game wrestles many of the key themes of imperialism and globalization in the eighteenth and nineteenth centuries and how those developments were felt domestically. As such, this game might not be suitable for all players. Please make sure everyone in your group consents to this exploration before playing.</p>

<p>The second edition is extensively revised and is not a reprint.</p>

<p><em>&mdash;description from designer</em></p>

",6,240,1,90,775,702,514,1,6786,6682,182,,304,83,362,2,,,296,2370,197,2024-02,Promise and cajole your way to the top whilst running the East India Company.,1.64803,2889,903090,2022
kingdomino,Kingdomino,Build a kingdom with varied terrains on domino-shaped tiles in this fast family game.,https://drive.google.com/drive/folders/1RWiypVu9V_wvEuGPiz4fQA4283cPNwjO?usp=drive_link,[],"['Tile Laying', 'Family Game', 'Drafting', 'Light', 'Bruno Cathala', 'Modern Family Boardgames']",https://boardgamegeek.com/boardgame/204583/kingdomino,https://cf.geekdo-images.com/3h9W8BfB_rltQ48EBmHliw__opengraph/img/GUZYuvDHB9Esa7XkZjsh8qvSiN4=/0x0:300x158/fit-in/1200x630/filters:strip_icc()/pic3132685.png,,7.3128,1.222,7.19616,"<p>In <em><strong>Kingdomino</strong></em>, you are a lord seeking new lands in which to expand your kingdom. You must explore all the lands, including wheat fields, lakes, and mountains, in order to spot the best plots, while competing with other lords to acquire them first.</p>

<p>The game uses tiles with two sections, similar to Dominoes. Each turn, each player will select a new domino to connect to their existing kingdom, making sure at least one of its sides connects to a matching terrain type already in play. The order of who picks first depends on which tile was previously chosen, with better tiles forcing players to pick later in the next round. The game ends when each player has completed a 5x5 grid (or failed to do so), and points are counted based on number of connecting tiles and valuable crown symbols.</p>

",4,25,2,15,6508,1453,4823,19,78666,367021,2119,,4899,988,360,12,,,1045,4549,741,2024-02,Build a kingdom with varied terrains on domino-shaped tiles in this fast family game.,1.12437,46522,1514763,2016
